onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.011	0.000	self	2.760	2	0.184	-0.766	0.184	5	positive	historical	action	20	negative	historical	romance
13.211	0.000	self	1.978	1	-0.766	-0.766	-0.490	8	positive	historical	action	2	positive	historical	romance
21.878	0.000	self	0.850	1	0.766	0.766	0.184	28	negative	futuristic	romance	19	negative	historical	romance
31.377	0.000	self	0.909	1	-0.092	-0.092	0.184	23	negative	historical	action	20	negative	historical	romance
39.094	0.000	self	1.747	1	0.184	0.184	-0.184	20	negative	historical	romance	15	positive	futuristic	action
46.501	0.000	self	0.784	1	0.766	0.766	-0.184	25	negative	futuristic	romance	15	positive	futuristic	action
54.351	0.000	self	2.313	2	-0.092	-0.490	-0.092	4	positive	historical	romance	22	negative	historical	action
62.194	0.000	self	2.645	1	-0.184	-0.184	-0.490	16	positive	futuristic	action	2	positive	historical	romance
69.527	0.000	self	1.153	1	0.490	0.490	-0.490	30	negative	futuristic	action	4	positive	historical	romance
77.428	0.000	self	1.528	2	-0.092	-0.766	-0.092	8	positive	historical	action	23	negative	historical	action
85.407	0.000	self	1.228	1	0.092	0.092	-0.184	9	positive	futuristic	romance	15	positive	futuristic	action
92.758	0.000	self	2.833	1	-0.092	-0.092	-0.766	22	negative	historical	action	5	positive	historical	action
100.209	0.000	self	1.055	1	0.092	0.092	0.184	9	positive	futuristic	romance	20	negative	historical	romance
108.994	0.000	self	0.803	1	0.766	0.766	0.092	28	negative	futuristic	romance	9	positive	futuristic	romance
116.011	0.000	self	0.774	2	0.766	-0.184	0.766	16	positive	futuristic	action	28	negative	futuristic	romance
123.012	0.000	self	0.774	1	0.766	0.766	-0.766	28	negative	futuristic	romance	5	positive	historical	action
132.332	0.000	self	1.044	1	0.490	0.490	0.184	30	negative	futuristic	action	19	negative	historical	romance
141.660	0.000	self	1.053	2	0.490	0.092	0.490	9	positive	futuristic	romance	32	negative	futuristic	action
150.551	0.000	self	NaN	NaN	NaN	NaN	NaN	16	positive	futuristic	action	5	positive	historical	action
158.452	0.000	self	1.630	1	0.184	0.184	-0.184	20	negative	historical	romance	16	positive	futuristic	action
167.204	0.000	self	1.545	1	-0.092	-0.092	-0.490	22	negative	historical	action	2	positive	historical	romance
175.138	0.000	self	1.274	1	-0.092	-0.092	-0.490	23	negative	historical	action	4	positive	historical	romance
184.828	0.000	self	1.273	1	0.490	0.490	-0.092	32	negative	futuristic	action	22	negative	historical	action
193.125	0.000	self	0.853	2	0.490	-0.490	0.490	4	positive	historical	romance	32	negative	futuristic	action
201.325	0.000	self	0.936	1	0.766	0.766	-0.092	25	negative	futuristic	romance	23	negative	historical	action
