onset	duration	trial_type	rt	choice	outcome	PE	Value1	Value2	Value_c	W1	W2	W3
4.017	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.250	0.000	self	0.806	1	1.000	1.033	-0.033	-0.157	-0.033	0.173	0.095	-0.111
29.117	0.000	self	1.180	2	1.000	0.831	-0.202	0.169	0.169	0.185	0.083	-0.099
40.567	0.000	self	1.199	2	1.000	0.801	-0.377	0.199	0.199	0.195	0.093	-0.089
51.550	0.000	self	1.869	1	1.000	0.772	0.228	0.023	0.228	0.205	0.102	-0.079
62.750	0.000	self	1.164	1	1.000	0.604	0.396	-0.396	0.396	0.214	0.111	-0.070
76.450	0.000	self	2.105	2	1.000	0.975	-0.262	0.025	0.025	0.221	0.119	-0.077
87.517	0.000	self	1.410	1	1.000	1.060	-0.060	-0.274	-0.060	0.233	0.107	-0.066
100.617	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
111.650	0.000	self	1.838	2	1.000	0.739	-0.261	0.261	0.261	0.220	0.120	-0.078
123.133	0.000	self	1.217	2	1.000	1.031	-0.170	-0.031	-0.031	0.229	0.128	-0.070
134.917	0.000	self	1.432	2	1.000	1.006	-0.158	-0.006	-0.006	0.217	0.141	-0.082
145.600	0.000	self	2.668	1	0.000	-0.030	0.030	0.427	0.030	0.229	0.129	-0.070
158.733	0.000	self	1.960	2	1.000	0.713	-0.287	0.287	0.287	0.228	0.129	-0.070
169.317	0.000	self	1.393	2	0.000	-0.161	0.038	0.161	0.161	0.237	0.137	-0.062
180.850	0.000	self	1.257	1	1.000	0.845	0.155	-0.036	0.155	0.235	0.139	-0.060
192.433	0.000	self	1.122	2	1.000	0.954	-0.444	0.046	0.046	0.245	0.129	-0.070
207.150	0.000	self	1.319	1	1.000	0.803	0.197	-0.197	0.197	0.256	0.118	-0.059
221.083	0.000	self	2.007	1	0.000	0.089	-0.089	0.089	-0.089	0.266	0.108	-0.068
233.517	0.000	self	1.238	2	1.000	0.775	-0.225	0.225	0.225	0.265	0.110	-0.069
246.817	0.000	self	1.167	2	1.000	1.252	-0.453	-0.252	-0.252	0.274	0.100	-0.078
260.867	0.000	self	1.832	2	0.000	-0.208	0.311	0.208	0.208	0.259	0.115	-0.064
272.767	0.000	self	2.051	2	0.000	-0.200	0.435	0.200	0.200	0.257	0.118	-0.061
286.983	0.000	self	1.072	2	1.000	0.807	0.076	0.193	0.193	0.254	0.120	-0.059
297.983	0.000	self	1.285	1	0.000	0.085	-0.085	0.443	-0.085	0.264	0.110	-0.068
309.717	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
321.100	0.000	self	0.924	2	0.000	-0.221	0.444	0.221	0.221	0.263	0.111	-0.069
333.233	0.000	self	1.136	2	1.000	0.787	-0.441	0.213	0.213	0.260	0.114	-0.067
344.650	0.000	self	2.813	2	1.000	1.089	0.089	-0.089	-0.089	0.270	0.105	-0.076
356.867	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
368.983	0.000	self	1.181	2	1.000	1.228	-0.463	-0.228	-0.228	0.257	0.118	-0.089
382.433	0.000	self	0.840	1	1.000	0.965	0.035	-0.449	0.035	0.242	0.132	-0.074
395.917	0.000	self	1.253	1	1.000	0.689	0.311	-0.437	0.311	0.254	0.121	-0.063
408.600	0.000	self	1.357	2	1.000	1.078	-0.336	-0.078	-0.078	0.262	0.129	-0.055
421.067	0.000	self	1.189	1	1.000	0.542	0.458	-0.175	0.458	0.249	0.142	-0.068
433.183	0.000	self	1.430	1	1.000	0.670	0.330	-0.478	0.330	0.255	0.148	-0.074
443.417	0.000	self	1.996	1	1.000	0.827	0.173	0.041	0.173	0.263	0.156	-0.066
455.867	0.000	self	1.475	2	0.000	0.051	0.495	-0.051	-0.051	0.273	0.146	-0.076
468.317	0.000	self	1.609	1	0.000	-0.202	0.202	0.343	0.202	0.273	0.147	-0.076
479.450	0.000	self	1.117	2	1.000	0.805	-0.195	0.195	0.195	0.270	0.149	-0.074
492.133	0.000	self	0.975	1	0.000	-0.056	0.056	0.336	0.056	0.280	0.140	-0.084
505.217	0.000	self	1.557	1	0.000	0.054	-0.054	0.054	-0.054	0.279	0.140	-0.084
518.817	0.000	self	1.036	2	1.000	0.496	-0.335	0.504	0.504	0.278	0.141	-0.085
529.883	0.000	self	2.380	1	1.000	0.478	0.522	-0.340	0.522	0.284	0.147	-0.091
540.433	0.000	self	1.133	2	1.000	0.461	-0.539	0.539	0.539	0.290	0.153	-0.097
554.000	0.000	self	1.522	1	1.000	0.648	0.352	-0.352	0.352	0.295	0.158	-0.102
565.933	0.000	self	1.698	1	1.000	0.437	0.563	0.043	0.563	0.303	0.166	-0.094
577.833	0.000	self	2.240	1	0.000	0.038	-0.038	0.380	-0.038	0.308	0.171	-0.099
588.900	0.000	self	1.772	1	0.000	-0.579	0.579	0.379	0.579	0.308	0.172	-0.100
600.583	0.000	self	2.306	2	0.000	-0.229	0.373	0.229	0.229	0.301	0.165	-0.093
