onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.015	0.000	self	2.385	2	0.000	0.467	-0.467	-0.727	-0.467	0.122	0.597	-0.008	27	negative	futuristic	romance	16	positive	futuristic	action
14.765	0.000	self	0.879	1	1.000	0.261	0.739	0.739	-0.698	0.134	0.585	-0.020	6	positive	historical	action	29	negative	futuristic	action
27.898	0.000	self	0.838	1	1.000	0.295	0.705	0.705	0.424	0.140	0.592	-0.027	4	positive	historical	romance	19	negative	historical	romance
39.298	0.000	self	1.051	2	0.000	0.767	-0.767	-0.471	-0.767	0.148	0.599	-0.020	11	positive	futuristic	romance	27	negative	futuristic	romance
52.165	0.000	self	2.747	1	1.000	1.451	-0.451	-0.451	-0.452	0.128	0.580	0.000	11	positive	futuristic	romance	16	positive	futuristic	action
64.632	0.000	self	2.293	1	1.000	0.330	0.670	0.670	0.745	0.166	0.542	0.038	6	positive	historical	action	4	positive	historical	romance
76.898	0.000	self	0.877	2	0.000	0.696	-0.696	-0.406	-0.696	0.174	0.551	0.029	14	positive	futuristic	action	27	negative	futuristic	romance
91.032	0.000	self	2.947	2	1.000	1.329	-0.329	-0.736	-0.329	0.156	0.533	0.047	30	negative	futuristic	action	11	positive	futuristic	romance
101.715	0.000	self	2.257	2	1.000	0.230	0.770	-0.770	0.770	0.191	0.498	0.082	29	negative	futuristic	action	2	positive	historical	romance
114.615	0.000	self	2.777	1	1.000	0.605	0.395	0.395	-0.788	0.197	0.504	0.088	20	negative	historical	romance	30	negative	futuristic	action
126.232	0.000	self	1.538	2	1.000	0.196	0.804	-0.804	0.804	0.181	0.520	0.103	30	negative	futuristic	action	2	positive	historical	romance
139.032	0.000	self	2.674	2	0.000	0.603	-0.603	-0.819	-0.603	0.186	0.525	0.108	29	negative	futuristic	action	28	negative	futuristic	romance
150.698	0.000	self	2.529	1	1.000	1.215	-0.215	-0.215	-0.556	0.170	0.509	0.124	9	positive	futuristic	romance	27	negative	futuristic	romance
162.948	0.000	self	1.194	1	1.000	0.879	0.121	0.121	-0.431	0.202	0.478	0.155	22	negative	historical	action	14	positive	futuristic	action
175.632	0.000	self	0.870	2	1.000	0.453	0.547	-0.812	0.547	0.179	0.501	0.133	30	negative	futuristic	action	6	positive	historical	action
186.932	0.000	self	1.326	1	1.000	0.558	0.442	0.442	-0.582	0.191	0.512	0.121	20	negative	historical	romance	28	negative	futuristic	romance
198.382	0.000	self	2.299	2	1.000	0.514	0.486	-0.838	0.486	0.176	0.527	0.135	29	negative	futuristic	action	20	negative	historical	romance
209.998	0.000	self	2.207	2	1.000	0.772	0.228	-0.228	0.228	0.163	0.540	0.149	11	positive	futuristic	romance	23	negative	historical	action
222.315	0.000	self	1.751	2	1.000	0.168	0.832	0.288	0.832	0.143	0.560	0.129	23	negative	historical	action	2	positive	historical	romance
234.665	0.000	self	1.382	2	0.000	-0.550	0.550	0.284	0.550	0.147	0.564	0.133	23	negative	historical	action	19	negative	historical	romance
247.648	0.000	self	2.770	2	0.000	0.831	-0.831	-0.593	-0.831	0.162	0.550	0.119	27	negative	futuristic	romance	29	negative	futuristic	action
261.032	0.000	self	1.492	2	1.000	1.291	-0.291	-0.766	-0.291	0.140	0.529	0.097	30	negative	futuristic	action	9	positive	futuristic	romance
273.365	0.000	self	2.879	2	0.000	-0.538	0.538	0.799	0.538	0.174	0.495	0.131	2	positive	historical	romance	7	positive	historical	action
284.232	0.000	self	2.575	2	1.000	1.177	-0.177	-0.496	-0.177	0.160	0.481	0.145	28	negative	futuristic	romance	11	positive	futuristic	romance
294.598	0.000	self	2.383	2	1.000	0.564	0.436	-0.466	0.436	0.190	0.451	0.175	27	negative	futuristic	romance	19	negative	historical	romance
304.848	0.000	self	2.007	2	0.000	0.100	-0.100	-0.451	-0.100	0.176	0.465	0.190	28	negative	futuristic	romance	9	positive	futuristic	romance
315.198	0.000	self	1.917	2	1.000	1.477	-0.477	-0.833	-0.477	0.178	0.463	0.192	29	negative	futuristic	action	14	positive	futuristic	action
328.865	0.000	self	1.729	2	1.000	0.946	0.054	-0.487	0.054	0.216	0.425	0.154	28	negative	futuristic	romance	22	negative	historical	action
341.032	0.000	self	1.996	2	1.000	0.229	0.771	-0.511	0.771	0.192	0.449	0.130	28	negative	futuristic	romance	4	positive	historical	romance
351.398	0.000	self	1.198	2	1.000	0.878	0.122	-0.517	0.122	0.198	0.455	0.135	27	negative	futuristic	romance	22	negative	historical	action
363.182	0.000	self	1.022	2	1.000	0.810	0.190	-0.415	0.190	0.175	0.478	0.113	16	positive	futuristic	action	22	negative	historical	action
375.315	0.000	self	1.924	1	1.000	0.255	0.745	0.745	-0.561	0.154	0.499	0.092	2	positive	historical	romance	28	negative	futuristic	romance
388.365	0.000	self	0.784	2	1.000	0.754	0.246	-0.246	0.246	0.161	0.505	0.098	9	positive	futuristic	romance	22	negative	historical	action
399.582	0.000	self	1.135	1	1.000	0.537	0.463	0.463	-0.745	0.141	0.525	0.079	19	negative	historical	romance	30	negative	futuristic	action
411.698	0.000	self	0.903	2	1.000	0.427	0.573	-0.759	0.573	0.127	0.539	0.093	29	negative	futuristic	action	7	positive	historical	action
425.348	0.000	self	0.806	1	1.000	0.230	0.770	0.770	-0.330	0.138	0.550	0.082	4	positive	historical	romance	11	positive	futuristic	romance
436.265	0.000	self	1.816	1	1.000	1.324	-0.324	-0.324	-0.499	0.144	0.556	0.088	11	positive	futuristic	romance	14	positive	futuristic	action
448.899	0.000	self	2.590	1	1.000	0.535	0.465	0.465	-0.465	0.179	0.521	0.122	20	negative	historical	romance	14	positive	futuristic	action
460.298	0.000	self	1.807	1	1.000	1.235	-0.235	-0.235	-0.836	0.165	0.535	0.136	9	positive	futuristic	romance	29	negative	futuristic	action
471.865	0.000	self	1.985	1	1.000	1.532	-0.532	-0.532	-0.868	0.197	0.503	0.168	27	negative	futuristic	romance	30	negative	futuristic	action
485.015	0.000	self	2.166	1	0.000	-0.514	0.514	0.514	0.099	0.157	0.464	0.207	19	negative	historical	romance	22	negative	historical	action
496.982	0.000	self	1.842	1	0.000	0.427	-0.427	-0.427	-0.474	0.170	0.450	0.194	28	negative	futuristic	romance	16	positive	futuristic	action
508.315	0.000	self	0.950	1	1.000	0.196	0.804	0.804	-0.485	0.159	0.439	0.205	2	positive	historical	romance	14	positive	futuristic	action
520.365	0.000	self	2.473	2	1.000	0.510	0.490	-0.070	0.490	0.164	0.445	0.210	11	positive	futuristic	romance	19	negative	historical	romance
532.315	0.000	self	1.434	1	1.000	0.917	0.083	0.083	-0.832	0.151	0.458	0.223	22	negative	historical	action	29	negative	futuristic	action
