movie1	movie2	Reference frame	Distance
[P, H, R]	[P, H, R]	Features	0.3333333333333333
[P, H, R]	[P, H, A]	Features	0.1111111111111111
[P, H, R]	[P, F, R]	Features	0.1111111111111111
[P, H, R]	[P, F, A]	Features	-0.1111111111111111
[P, H, R]	[N, H, R]	Features	0.1111111111111111
[P, H, R]	[N, H, A]	Features	-0.1111111111111111
[P, H, R]	[N, F, R]	Features	-0.1111111111111111
[P, H, R]	[N, F, A]	Features	-0.3333333333333333
[P, H, A]	[P, H, R]	Features	0.1111111111111111
[P, H, A]	[P, H, A]	Features	0.3333333333333333
[P, H, A]	[P, F, R]	Features	-0.1111111111111111
[P, H, A]	[P, F, A]	Features	0.1111111111111111
[P, H, A]	[N, H, R]	Features	-0.1111111111111111
[P, H, A]	[N, H, A]	Features	0.1111111111111111
[P, H, A]	[N, F, R]	Features	-0.3333333333333333
[P, H, A]	[N, F, A]	Features	-0.1111111111111111
[P, F, R]	[P, H, R]	Features	0.1111111111111111
[P, F, R]	[P, H, A]	Features	-0.1111111111111111
[P, F, R]	[P, F, R]	Features	0.3333333333333333
[P, F, R]	[P, F, A]	Features	0.1111111111111111
[P, F, R]	[N, H, R]	Features	-0.1111111111111111
[P, F, R]	[N, H, A]	Features	-0.3333333333333333
[P, F, R]	[N, F, R]	Features	0.1111111111111111
[P, F, R]	[N, F, A]	Features	-0.1111111111111111
[P, F, A]	[P, H, R]	Features	-0.1111111111111111
[P, F, A]	[P, H, A]	Features	0.1111111111111111
[P, F, A]	[P, F, R]	Features	0.1111111111111111
[P, F, A]	[P, F, A]	Features	0.3333333333333333
[P, F, A]	[N, H, R]	Features	-0.3333333333333333
[P, F, A]	[N, H, A]	Features	-0.1111111111111111
[P, F, A]	[N, F, R]	Features	-0.1111111111111111
[P, F, A]	[N, F, A]	Features	0.1111111111111111
[N, H, R]	[P, H, R]	Features	0.1111111111111111
[N, H, R]	[P, H, A]	Features	-0.1111111111111111
[N, H, R]	[P, F, R]	Features	-0.1111111111111111
[N, H, R]	[P, F, A]	Features	-0.3333333333333333
[N, H, R]	[N, H, R]	Features	0.3333333333333333
[N, H, R]	[N, H, A]	Features	0.1111111111111111
[N, H, R]	[N, F, R]	Features	0.1111111111111111
[N, H, R]	[N, F, A]	Features	-0.1111111111111111
[N, H, A]	[P, H, R]	Features	-0.1111111111111111
[N, H, A]	[P, H, A]	Features	0.1111111111111111
[N, H, A]	[P, F, R]	Features	-0.3333333333333333
[N, H, A]	[P, F, A]	Features	-0.1111111111111111
[N, H, A]	[N, H, R]	Features	0.1111111111111111
[N, H, A]	[N, H, A]	Features	0.3333333333333333
[N, H, A]	[N, F, R]	Features	-0.1111111111111111
[N, H, A]	[N, F, A]	Features	0.1111111111111111
[N, F, R]	[P, H, R]	Features	-0.1111111111111111
[N, F, R]	[P, H, A]	Features	-0.3333333333333333
[N, F, R]	[P, F, R]	Features	0.1111111111111111
[N, F, R]	[P, F, A]	Features	-0.1111111111111111
[N, F, R]	[N, H, R]	Features	0.1111111111111111
[N, F, R]	[N, H, A]	Features	-0.1111111111111111
[N, F, R]	[N, F, R]	Features	0.3333333333333333
[N, F, R]	[N, F, A]	Features	0.1111111111111111
[N, F, A]	[P, H, R]	Features	-0.3333333333333333
[N, F, A]	[P, H, A]	Features	-0.1111111111111111
[N, F, A]	[P, F, R]	Features	-0.1111111111111111
[N, F, A]	[P, F, A]	Features	0.1111111111111111
[N, F, A]	[N, H, R]	Features	-0.1111111111111111
[N, F, A]	[N, H, A]	Features	0.1111111111111111
[N, F, A]	[N, F, R]	Features	0.1111111111111111
[N, F, A]	[N, F, A]	Features	0.3333333333333333
[P, H, R]	[P, H, R]	Self	0.36364675764670695
[P, H, R]	[P, H, A]	Self	0.25700856951548595
[P, H, R]	[P, F, R]	Self	0.18463958741864747
[P, H, R]	[P, F, A]	Self	0.07800139928742648
[P, H, R]	[N, H, R]	Self	-0.07800139928742648
[P, H, R]	[N, H, A]	Self	-0.18463958741864747
[P, H, R]	[N, F, R]	Self	-0.25700856951548595
[P, H, R]	[N, F, A]	Self	-0.36364675764670695
[P, H, A]	[P, H, R]	Self	0.25700856951548595
[P, H, A]	[P, H, A]	Self	0.36364675764670695
[P, H, A]	[P, F, R]	Self	0.07800139928742648
[P, H, A]	[P, F, A]	Self	0.18463958741864747
[P, H, A]	[N, H, R]	Self	-0.18463958741864747
[P, H, A]	[N, H, A]	Self	-0.07800139928742648
[P, H, A]	[N, F, R]	Self	-0.36364675764670695
[P, H, A]	[N, F, A]	Self	-0.25700856951548595
[P, F, R]	[P, H, R]	Self	0.18463958741864747
[P, F, R]	[P, H, A]	Self	0.07800139928742648
[P, F, R]	[P, F, R]	Self	0.36364675764670695
[P, F, R]	[P, F, A]	Self	0.25700856951548595
[P, F, R]	[N, H, R]	Self	-0.25700856951548595
[P, F, R]	[N, H, A]	Self	-0.36364675764670695
[P, F, R]	[N, F, R]	Self	-0.07800139928742648
[P, F, R]	[N, F, A]	Self	-0.18463958741864747
[P, F, A]	[P, H, R]	Self	0.07800139928742648
[P, F, A]	[P, H, A]	Self	0.18463958741864747
[P, F, A]	[P, F, R]	Self	0.25700856951548595
[P, F, A]	[P, F, A]	Self	0.36364675764670695
[P, F, A]	[N, H, R]	Self	-0.36364675764670695
[P, F, A]	[N, H, A]	Self	-0.25700856951548595
[P, F, A]	[N, F, R]	Self	-0.18463958741864747
[P, F, A]	[N, F, A]	Self	-0.07800139928742648
[N, H, R]	[P, H, R]	Self	-0.07800139928742648
[N, H, R]	[P, H, A]	Self	-0.18463958741864747
[N, H, R]	[P, F, R]	Self	-0.25700856951548595
[N, H, R]	[P, F, A]	Self	-0.36364675764670695
[N, H, R]	[N, H, R]	Self	0.36364675764670695
[N, H, R]	[N, H, A]	Self	0.25700856951548595
[N, H, R]	[N, F, R]	Self	0.18463958741864747
[N, H, R]	[N, F, A]	Self	0.07800139928742648
[N, H, A]	[P, H, R]	Self	-0.18463958741864747
[N, H, A]	[P, H, A]	Self	-0.07800139928742648
[N, H, A]	[P, F, R]	Self	-0.36364675764670695
[N, H, A]	[P, F, A]	Self	-0.25700856951548595
[N, H, A]	[N, H, R]	Self	0.25700856951548595
[N, H, A]	[N, H, A]	Self	0.36364675764670695
[N, H, A]	[N, F, R]	Self	0.07800139928742648
[N, H, A]	[N, F, A]	Self	0.18463958741864747
[N, F, R]	[P, H, R]	Self	-0.25700856951548595
[N, F, R]	[P, H, A]	Self	-0.36364675764670695
[N, F, R]	[P, F, R]	Self	-0.07800139928742648
[N, F, R]	[P, F, A]	Self	-0.18463958741864747
[N, F, R]	[N, H, R]	Self	0.18463958741864747
[N, F, R]	[N, H, A]	Self	0.07800139928742648
[N, F, R]	[N, F, R]	Self	0.36364675764670695
[N, F, R]	[N, F, A]	Self	0.25700856951548595
[N, F, A]	[P, H, R]	Self	-0.36364675764670695
[N, F, A]	[P, H, A]	Self	-0.25700856951548595
[N, F, A]	[P, F, R]	Self	-0.18463958741864747
[N, F, A]	[P, F, A]	Self	-0.07800139928742648
[N, F, A]	[N, H, R]	Self	0.07800139928742648
[N, F, A]	[N, H, A]	Self	0.18463958741864747
[N, F, A]	[N, F, R]	Self	0.25700856951548595
[N, F, A]	[N, F, A]	Self	0.36364675764670695
[P, H, R]	[P, H, R]	Other	0.6046374512525613
[P, H, R]	[P, H, A]	Other	0.6043783462224867
[P, H, R]	[P, F, R]	Other	-0.47569303985722794
[P, H, R]	[P, F, A]	Other	-0.4759521448873026
[P, H, R]	[N, H, R]	Other	0.4759521448873026
[P, H, R]	[N, H, A]	Other	0.47569303985722794
[P, H, R]	[N, F, R]	Other	-0.6043783462224867
[P, H, R]	[N, F, A]	Other	-0.6046374512525613
[P, H, A]	[P, H, R]	Other	0.6043783462224867
[P, H, A]	[P, H, A]	Other	0.6046374512525613
[P, H, A]	[P, F, R]	Other	-0.4759521448873026
[P, H, A]	[P, F, A]	Other	-0.47569303985722794
[P, H, A]	[N, H, R]	Other	0.47569303985722794
[P, H, A]	[N, H, A]	Other	0.4759521448873026
[P, H, A]	[N, F, R]	Other	-0.6046374512525613
[P, H, A]	[N, F, A]	Other	-0.6043783462224867
[P, F, R]	[P, H, R]	Other	-0.47569303985722794
[P, F, R]	[P, H, A]	Other	-0.4759521448873026
[P, F, R]	[P, F, R]	Other	0.6046374512525613
[P, F, R]	[P, F, A]	Other	0.6043783462224867
[P, F, R]	[N, H, R]	Other	-0.6043783462224867
[P, F, R]	[N, H, A]	Other	-0.6046374512525613
[P, F, R]	[N, F, R]	Other	0.4759521448873026
[P, F, R]	[N, F, A]	Other	0.47569303985722794
[P, F, A]	[P, H, R]	Other	-0.4759521448873026
[P, F, A]	[P, H, A]	Other	-0.47569303985722794
[P, F, A]	[P, F, R]	Other	0.6043783462224867
[P, F, A]	[P, F, A]	Other	0.6046374512525613
[P, F, A]	[N, H, R]	Other	-0.6046374512525613
[P, F, A]	[N, H, A]	Other	-0.6043783462224867
[P, F, A]	[N, F, R]	Other	0.47569303985722794
[P, F, A]	[N, F, A]	Other	0.4759521448873026
[N, H, R]	[P, H, R]	Other	0.4759521448873026
[N, H, R]	[P, H, A]	Other	0.47569303985722794
[N, H, R]	[P, F, R]	Other	-0.6043783462224867
[N, H, R]	[P, F, A]	Other	-0.6046374512525613
[N, H, R]	[N, H, R]	Other	0.6046374512525613
[N, H, R]	[N, H, A]	Other	0.6043783462224867
[N, H, R]	[N, F, R]	Other	-0.47569303985722794
[N, H, R]	[N, F, A]	Other	-0.4759521448873026
[N, H, A]	[P, H, R]	Other	0.47569303985722794
[N, H, A]	[P, H, A]	Other	0.4759521448873026
[N, H, A]	[P, F, R]	Other	-0.6046374512525613
[N, H, A]	[P, F, A]	Other	-0.6043783462224867
[N, H, A]	[N, H, R]	Other	0.6043783462224867
[N, H, A]	[N, H, A]	Other	0.6046374512525613
[N, H, A]	[N, F, R]	Other	-0.4759521448873026
[N, H, A]	[N, F, A]	Other	-0.47569303985722794
[N, F, R]	[P, H, R]	Other	-0.6043783462224867
[N, F, R]	[P, H, A]	Other	-0.6046374512525613
[N, F, R]	[P, F, R]	Other	0.4759521448873026
[N, F, R]	[P, F, A]	Other	0.47569303985722794
[N, F, R]	[N, H, R]	Other	-0.47569303985722794
[N, F, R]	[N, H, A]	Other	-0.4759521448873026
[N, F, R]	[N, F, R]	Other	0.6046374512525613
[N, F, R]	[N, F, A]	Other	0.6043783462224867
[N, F, A]	[P, H, R]	Other	-0.6046374512525613
[N, F, A]	[P, H, A]	Other	-0.6043783462224867
[N, F, A]	[P, F, R]	Other	0.47569303985722794
[N, F, A]	[P, F, A]	Other	0.4759521448873026
[N, F, A]	[N, H, R]	Other	-0.4759521448873026
[N, F, A]	[N, H, A]	Other	-0.47569303985722794
[N, F, A]	[N, F, R]	Other	0.6043783462224867
[N, F, A]	[N, F, A]	Other	0.6046374512525613
